timestamp,engine_id,cycle,s2,s3,s4,prediction,probability,anomaly
2026-04-15 00:30:55.304557,1,1,641.82,1589.7,1400.6,0,0.0,0
2026-04-15 00:31:00.507842,1,2,642.15,1591.82,1403.14,0,0.0,0
2026-04-15 00:31:04.518181,1,3,642.35,1587.99,1404.2,0,0.0,0
2026-04-15 00:31:08.175553,1,4,642.35,1582.79,1401.87,0,0.0,0
2026-04-15 00:31:11.188399,1,5,642.37,1582.85,1406.22,0,0.0,0
2026-04-15 00:31:15.168766,1,6,642.1,1584.47,1398.37,0,0.0,0
2026-04-15 00:31:18.046937,1,7,642.48,1592.32,1397.77,0,0.0,0
2026-04-15 00:31:20.340337,1,8,642.56,1582.96,1400.97,0,0.0,0
2026-04-15 00:31:23.868893,1,9,642.12,1590.98,1394.8,0,0.0,0
2026-04-15 00:31:28.062032,1,10,641.71,1591.24,1400.46,0,0.0,0
2026-04-15 00:31:32.323469,1,11,642.28,1581.75,1400.64,0,0.0,0
2026-04-15 00:31:35.480745,1,12,642.06,1583.41,1400.15,0,0.0,0
2026-04-15 00:31:37.895742,1,13,643.07,1582.19,1400.83,0,0.0,0
2026-04-15 00:31:40.187854,1,14,642.35,1592.95,1399.16,0,0.0,0
2026-04-15 00:31:42.453490,1,15,642.43,1583.82,1402.13,0,0.0,0
2026-04-15 00:31:44.742892,1,16,642.13,1587.98,1404.5,0,0.0,0
2026-04-15 00:31:47.118556,1,17,642.58,1584.96,1399.95,0,0.0,0
2026-04-15 00:31:49.434041,1,18,642.62,1591.04,1396.12,0,0.0,0
2026-04-15 00:31:51.665344,1,19,641.79,1587.56,1400.35,0,0.0,0
2026-04-15 00:31:54.060548,1,20,643.04,1581.11,1405.23,0,0.0,0
2026-04-15 00:31:56.772024,1,21,642.37,1586.07,1398.13,0,0.0,0
2026-04-15 00:31:58.922267,1,22,642.77,1592.93,1400.57,0,0.0,0
2026-04-15 00:32:01.130506,1,23,642.14,1588.19,1394.75,0,0.0,0
2026-04-15 00:32:03.344354,1,24,642.38,1590.83,1398.81,0,0.0,0
2026-04-15 00:32:05.635317,1,25,642.77,1594.1,1399.39,0,0.0,0
2026-04-15 00:32:07.934595,1,26,642.16,1589.08,1396.07,0,0.0,0
2026-04-15 00:32:10.202766,1,27,642.44,1590.47,1401.84,0,0.0,0
2026-04-15 00:32:12.571579,1,28,642.35,1582.84,1399.13,0,0.0,0
2026-04-15 00:32:14.890269,1,29,641.91,1584.83,1400.99,0,0.0,0
2026-04-15 00:32:17.136744,1,30,642.2,1593.52,1396.08,0,0.0,0
2026-04-15 00:32:19.401545,1,31,642.02,1584.18,1396.9,0,0.0,0
2026-04-15 00:32:21.671740,1,32,642.33,1591.38,1400.36,0,0.0,0
2026-04-15 00:32:23.916235,1,33,642.71,1588.4,1402.43,0,0.0,0
2026-04-15 00:32:26.099544,1,34,642.54,1581.47,1400.48,0,0.0,0
2026-04-15 00:32:28.239973,1,35,642.44,1590.0,1403.0,0,0.0,0
2026-04-15 00:32:30.382279,1,36,642.54,1581.72,1405.54,0,0.0,0
2026-04-15 00:32:32.511568,1,37,641.99,1579.11,1398.9,0,0.0,0
2026-04-15 00:32:35.009441,1,38,641.93,1589.6,1399.5,0,0.0,0
2026-04-15 00:32:38.435122,1,39,642.01,1583.21,1400.69,0,0.0,0
2026-04-15 00:32:40.923983,1,40,642.24,1582.08,1401.77,0,0.0,0
2026-04-15 00:32:43.017576,1,41,642.4,1591.31,1403.21,0,0.0,0
2026-04-15 00:32:45.309130,1,42,642.12,1584.66,1401.38,0,0.0,0
2026-04-15 00:32:47.539756,1,43,642.24,1591.52,1406.05,0,0.0,0
2026-04-15 00:32:49.937501,1,44,641.93,1586.94,1401.2,0,0.0,0
2026-04-15 00:32:52.229874,1,45,642.53,1582.42,1399.16,0,0.0,0
2026-04-15 00:32:54.527198,1,46,642.43,1588.29,1401.27,0,0.0,0
2026-04-15 00:32:56.725070,1,47,642.21,1580.32,1402.89,0,0.0,0
2026-04-15 00:32:59.020141,1,48,641.89,1588.51,1399.16,0,0.0,0
